p,prob,runtime
60,mclp,436.25351119041443
60,1,432.1636276245117
60,2,457.168160200119
60,3,421.0298526287079
80,mclp,410.69043707847595
80,1,420.66773557662964
80,2,430.68299078941345
80,3,429.13682413101196
100,mclp,423.20033264160156
100,1,447.4729497432709
100,2,445.77402997016907
100,3,443.0072202682495
120,mclp,435.96314239501953
120,1,461.8994550704956
120,2,475.6416747570038
120,3,469.4507405757904
140,mclp,440.00789308547974
140,1,469.7010889053345
140,2,455.56468439102173
140,3,469.98321628570557
