cov,grp,prob,conv_gen,runtime
1,0,1,286,453.8082928657532
1,0,2,286,453.12640619277954
1,0,3,286,420.6106834411621
1,1,1,286,446.3627116680145
1,1,2,286,464.60399436950684
1,1,3,286,444.86863136291504
1,2,1,286,464.3628451824188
1,2,2,286,474.9701449871063
1,2,3,286,462.62645149230957
1,3,1,286,456.10711908340454
1,3,2,286,448.07911801338196
1,3,3,286,448.0484809875488
2,0,1,286,430.74489307403564
2,0,2,286,430.2772595882416
2,0,3,286,443.7473773956299
2,1,1,286,430.406165599823
2,1,2,286,437.9679985046387
2,1,3,286,412.18958616256714
2,2,1,286,424.19835448265076
2,2,2,286,457.42662739753723
2,2,3,286,454.4447557926178
2,3,1,286,436.71656942367554
2,3,2,286,430.3570680618286
2,3,3,286,440.36136984825134
